t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
714,1,MS,6.24700000,1,396979.69310167,396979.69310167,0.00244027
715,1,MS,6.45500000,1,396881.08873834,396881.08873834,0.00248361
716,1,MS,6.47400000,1,396783.57559587,396783.57559587,0.00248760
717,1,MS,6.33400000,1,396688.30100778,396688.30100778,0.00245831
718,1,MS,6.32700000,1,396593.94360183,396593.94360183,0.00245686
719,1,MS,6.46800000,1,396498.98478925,396498.98478925,0.00248634
720,1,MS,6.70400000,1,396402.11029004,396402.11029004,0.00253641
721,1,MS,7.05400000,1,396302.07947196,396302.07947196,0.00261237
722,1,MS,7.16000000,1,396201.13059542,396201.13059542,0.00263578
723,1,MS,7.14500000,1,396100.31599850,396100.31599850,0.00263245
724,1,MS,7.12500000,1,395999.81817796,395999.81817796,0.00262803
725,1,MS,7.09000000,1,395900.00210869,395900.00210869,0.00262030
726,1,MS,7.02300000,1,395801.33354491,395801.33354491,0.00260556
727,1,MS,6.89300000,1,395704.43859753,395704.43859753,0.00257717
728,1,MS,6.75700000,1,395609.43740655,395609.43740655,0.00254778
729,1,MS,6.71000000,1,395515.69415347,395515.69415347,0.00253769
730,1,MS,6.73400000,1,395422.76922085,395422.76922085,0.00254284
731,1,MS,6.78200000,1,395330.59408529,395330.59408529,0.00255316
732,1,MS,6.77200000,1,395239.74215064,395239.74215064,0.00255101
733,1,MS,6.60700000,1,395151.37872747,395151.37872747,0.00251572
734,1,MS,6.43400000,1,395065.48622883,395065.48622883,0.00247920
735,1,MS,6.23400000,1,394982.14811191,394982.14811191,0.00243758
736,1,MS,5.99900000,1,394901.48710212,394901.48710212,0.00238950
737,1,MS,5.82800000,1,394822.99603653,394822.99603653,0.00235506
738,1,MS,5.70200000,1,394746.35272470,394746.35272470,0.00232998
739,1,MS,5.54800000,1,394671.70119241,394671.70119241,0.00229965
740,1,MS,5.41200000,1,394598.87614875,394598.87614875,0.00227317
741,1,MS,5.30200000,1,394527.65799442,394527.65799442,0.00225195
742,1,MS,5.31400000,1,394457.21056348,394457.21056348,0.00225425
743,1,MS,5.46200000,1,394386.48935959,394386.48935959,0.00228287
744,1,MS,5.71500000,1,394314.57478341,394314.57478341,0.00233255
745,1,MS,6.01200000,1,394240.73979798,394240.73979798,0.00239214
746,1,MS,6.38300000,1,394163.88090375,394163.88090375,0.00246853
747,1,MS,6.65400000,1,394084.46326388,394084.46326388,0.00252573
